benchmark,variant,firmware_image,stimulus_family,recorder_config,recorder_config_select,expected_property,sensor_value,command_value,watchdog_enable,irq_after_command,status,shell,property_id,captured_count,source_sent_count,consumed_count,controller_done,record_irq_entry_count,replay_irq_entry_count,signature,raw_log,notes
uart_command_bug,failing,firmware/build/uart_command_bug/failing.mem,base_model_mem,hashed,1,1,850,85,0,0,PASS,rtl_self_replay_soc,1,3,3,3,1,0,0,ac7000fe,results/raw/standalone_self_replay_smokes/uart_command_bug_hashed.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
uart_command_bug,failing,firmware/build/uart_command_bug/failing.mem,base_model_mem,full,2,1,850,85,0,0,PASS,rtl_self_replay_soc,1,3,3,3,1,0,0,ac7000fe,results/raw/standalone_self_replay_smokes/uart_command_bug_full.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
watchdog_timeout_bug,failing,firmware/build/watchdog_timeout_bug/failing.mem,base_model_mem,core,0,6,850,0,1,0,PASS,rtl_self_replay_soc,6,2,2,2,1,0,0,feed0081,results/raw/standalone_self_replay_smokes/watchdog_timeout_bug_core.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
watchdog_timeout_bug,failing,firmware/build/watchdog_timeout_bug/failing.mem,base_model_mem,hashed,1,6,850,0,1,0,PASS,rtl_self_replay_soc,6,2,2,2,1,0,0,feed0081,results/raw/standalone_self_replay_smokes/watchdog_timeout_bug_hashed.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
watchdog_timeout_bug,failing,firmware/build/watchdog_timeout_bug/failing.mem,base_model_mem,full,2,6,850,0,1,0,PASS,rtl_self_replay_soc,6,2,2,2,1,0,0,feed0081,results/raw/standalone_self_replay_smokes/watchdog_timeout_bug_full.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
commanded_actuator_limit_bug,failing,.tools/standalone_self_replay/converted_mem/commanded_actuator_limit_bug_failing.mem,expanded_compiler_hex,core,0,1,850,85,0,0,PASS,rtl_self_replay_soc,1,3,3,3,1,0,0,ac7000a4,results/raw/standalone_self_replay_smokes/commanded_actuator_limit_bug_core.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
commanded_actuator_limit_bug,failing,.tools/standalone_self_replay/converted_mem/commanded_actuator_limit_bug_failing.mem,expanded_compiler_hex,hashed,1,1,850,85,0,0,PASS,rtl_self_replay_soc,1,3,3,3,1,0,0,ac7000a4,results/raw/standalone_self_replay_smokes/commanded_actuator_limit_bug_hashed.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
commanded_actuator_limit_bug,failing,.tools/standalone_self_replay/converted_mem/commanded_actuator_limit_bug_failing.mem,expanded_compiler_hex,full,2,1,850,85,0,0,PASS,rtl_self_replay_soc,1,3,3,3,1,0,0,ac7000a4,results/raw/standalone_self_replay_smokes/commanded_actuator_limit_bug_full.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
late_config_sequence_bug,failing,.tools/standalone_self_replay/converted_mem/late_config_sequence_bug_failing.mem,expanded_compiler_hex,core,0,5,850,0,0,0,PASS,rtl_self_replay_soc,5,2,2,2,1,0,0,0d0e0013,results/raw/standalone_self_replay_smokes/late_config_sequence_bug_core.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
late_config_sequence_bug,failing,.tools/standalone_self_replay/converted_mem/late_config_sequence_bug_failing.mem,expanded_compiler_hex,hashed,1,5,850,0,0,0,PASS,rtl_self_replay_soc,5,2,2,2,1,0,0,0d0e0013,results/raw/standalone_self_replay_smokes/late_config_sequence_bug_hashed.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
late_config_sequence_bug,failing,.tools/standalone_self_replay/converted_mem/late_config_sequence_bug_failing.mem,expanded_compiler_hex,full,2,5,850,0,0,0,PASS,rtl_self_replay_soc,5,2,2,2,1,0,0,0d0e0013,results/raw/standalone_self_replay_smokes/late_config_sequence_bug_full.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
sensor_debounce_bug,failing,.tools/standalone_self_replay/converted_mem/sensor_debounce_bug_failing.mem,expanded_compiler_hex,core,0,3,850,0,0,0,PASS,rtl_self_replay_soc,3,3,3,3,1,0,0,5e0500f4,results/raw/standalone_self_replay_smokes/sensor_debounce_bug_core.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
sensor_debounce_bug,failing,.tools/standalone_self_replay/converted_mem/sensor_debounce_bug_failing.mem,expanded_compiler_hex,hashed,1,3,850,0,0,0,PASS,rtl_self_replay_soc,3,3,3,3,1,0,0,5e0500f4,results/raw/standalone_self_replay_smokes/sensor_debounce_bug_hashed.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
sensor_debounce_bug,failing,.tools/standalone_self_replay/converted_mem/sensor_debounce_bug_failing.mem,expanded_compiler_hex,full,2,3,850,0,0,0,PASS,rtl_self_replay_soc,3,3,3,3,1,0,0,5e0500f4,results/raw/standalone_self_replay_smokes/sensor_debounce_bug_full.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
status_clear_on_read_bug,failing,.tools/standalone_self_replay/converted_mem/status_clear_on_read_bug_failing.mem,expanded_compiler_hex,core,0,1,850,85,0,0,PASS,rtl_self_replay_soc,1,4,4,4,1,0,0,ac7000a6,results/raw/standalone_self_replay_smokes/status_clear_on_read_bug_core.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
status_clear_on_read_bug,failing,.tools/standalone_self_replay/converted_mem/status_clear_on_read_bug_failing.mem,expanded_compiler_hex,hashed,1,1,850,85,0,0,PASS,rtl_self_replay_soc,1,4,4,4,1,0,0,ac7000a6,results/raw/standalone_self_replay_smokes/status_clear_on_read_bug_hashed.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
status_clear_on_read_bug,failing,.tools/standalone_self_replay/converted_mem/status_clear_on_read_bug_failing.mem,expanded_compiler_hex,full,2,1,850,85,0,0,PASS,rtl_self_replay_soc,1,4,4,4,1,0,0,ac7000a6,results/raw/standalone_self_replay_smokes/status_clear_on_read_bug_full.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
platform2_status_window_bug,failing,.tools/standalone_self_replay/converted_mem/platform2_status_window_bug_failing.mem,expanded_profile2_compiler_hex,core,0,1,850,85,0,0,PASS,rtl_self_replay_soc,1,4,4,4,1,0,0,ac7000a6,results/raw/standalone_self_replay_smokes/platform2_status_window_bug_core.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
platform2_status_window_bug,failing,.tools/standalone_self_replay/converted_mem/platform2_status_window_bug_failing.mem,expanded_profile2_compiler_hex,hashed,1,1,850,85,0,0,PASS,rtl_self_replay_soc,1,4,4,4,1,0,0,ac7000a6,results/raw/standalone_self_replay_smokes/platform2_status_window_bug_hashed.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
platform2_status_window_bug,failing,.tools/standalone_self_replay/converted_mem/platform2_status_window_bug_failing.mem,expanded_profile2_compiler_hex,full,2,1,850,85,0,0,PASS,rtl_self_replay_soc,1,4,4,4,1,0,0,ac7000a6,results/raw/standalone_self_replay_smokes/platform2_status_window_bug_full.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
platform2_config_order_bug,failing,.tools/standalone_self_replay/converted_mem/platform2_config_order_bug_failing.mem,expanded_profile2_compiler_hex,core,0,5,850,0,0,0,PASS,rtl_self_replay_soc,5,2,2,2,1,0,0,0d0e0013,results/raw/standalone_self_replay_smokes/platform2_config_order_bug_core.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
platform2_config_order_bug,failing,.tools/standalone_self_replay/converted_mem/platform2_config_order_bug_failing.mem,expanded_profile2_compiler_hex,hashed,1,5,850,0,0,0,PASS,rtl_self_replay_soc,5,2,2,2,1,0,0,0d0e0013,results/raw/standalone_self_replay_smokes/platform2_config_order_bug_hashed.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
platform2_config_order_bug,failing,.tools/standalone_self_replay/converted_mem/platform2_config_order_bug_failing.mem,expanded_profile2_compiler_hex,full,2,5,850,0,0,0,PASS,rtl_self_replay_soc,5,2,2,2,1,0,0,0d0e0013,results/raw/standalone_self_replay_smokes/platform2_config_order_bug_full.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
environmental_controller_bug,failing,.tools/standalone_self_replay/converted_mem/environmental_controller_bug_failing.mem,realistic_control_compiler_hex,core,0,1,650,85,0,0,PASS,rtl_self_replay_soc,1,4,4,4,1,0,0,ac700064,results/raw/standalone_self_replay_smokes/environmental_controller_bug_core.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
environmental_controller_bug,failing,.tools/standalone_self_replay/converted_mem/environmental_controller_bug_failing.mem,realistic_control_compiler_hex,hashed,1,1,650,85,0,0,PASS,rtl_self_replay_soc,1,4,4,4,1,0,0,ac700064,results/raw/standalone_self_replay_smokes/environmental_controller_bug_hashed.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
environmental_controller_bug,failing,.tools/standalone_self_replay/converted_mem/environmental_controller_bug_failing.mem,realistic_control_compiler_hex,full,2,1,650,85,0,0,PASS,rtl_self_replay_soc,1,4,4,4,1,0,0,ac700064,results/raw/standalone_self_replay_smokes/environmental_controller_bug_full.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
power_rail_sequencer_bug,failing,.tools/standalone_self_replay/converted_mem/power_rail_sequencer_bug_failing.mem,realistic_control_compiler_hex,core,0,5,850,85,0,0,PASS,rtl_self_replay_soc,5,4,4,4,1,0,0,0d0e001e,results/raw/standalone_self_replay_smokes/power_rail_sequencer_bug_core.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
power_rail_sequencer_bug,failing,.tools/standalone_self_replay/converted_mem/power_rail_sequencer_bug_failing.mem,realistic_control_compiler_hex,hashed,1,5,850,85,0,0,PASS,rtl_self_replay_soc,5,4,4,4,1,0,0,0d0e001e,results/raw/standalone_self_replay_smokes/power_rail_sequencer_bug_hashed.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
power_rail_sequencer_bug,failing,.tools/standalone_self_replay/converted_mem/power_rail_sequencer_bug_failing.mem,realistic_control_compiler_hex,full,2,5,850,85,0,0,PASS,rtl_self_replay_soc,5,4,4,4,1,0,0,0d0e001e,results/raw/standalone_self_replay_smokes/power_rail_sequencer_bug_full.txt,"reusable RTL self-replay SoC shell captured replay-critical words, streamed them from the source after reset, and the replay consumer consumed the same count"
