benchmark,variant,baseline,status,event_count,bytes,events_per_kinst,replay_success,evidence_level,notes
interrupt_race_bug,failing,property_aware_replaycapsule_rv,MEASURED,5,105,1666.667,True,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
mmio_ordering_bug,NA,full_instruction_trace,TODO,NA,NA,NA,TODO,NA,requires simulator/RTL artifact not yet generated
mmio_ordering_bug,failing,full_commit_trace,MEASURED,3,48,1000.000,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
mmio_ordering_bug,failing,branch_only_trace,MEASURED,0,0,0.000,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
mmio_ordering_bug,failing,store_only_trace,MEASURED,2,32,666.667,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
mmio_ordering_bug,failing,mmio_only_trace,MEASURED,2,32,666.667,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
mmio_ordering_bug,failing,interrupt_mmio_trace,MEASURED,2,32,666.667,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
mmio_ordering_bug,NA,snapshot_on_failure,TODO,NA,NA,NA,TODO,NA,requires simulator/RTL artifact not yet generated
mmio_ordering_bug,failing,property_aware_replaycapsule_rv,MEASURED,3,63,1000.000,True,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
stack_corruption_bug,NA,full_instruction_trace,TODO,NA,NA,NA,TODO,NA,requires simulator/RTL artifact not yet generated
stack_corruption_bug,failing,full_commit_trace,MEASURED,3,48,1000.000,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
stack_corruption_bug,failing,branch_only_trace,MEASURED,0,0,0.000,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
stack_corruption_bug,failing,store_only_trace,MEASURED,2,32,666.667,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
stack_corruption_bug,failing,mmio_only_trace,MEASURED,1,16,333.333,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
stack_corruption_bug,failing,interrupt_mmio_trace,MEASURED,1,16,333.333,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
stack_corruption_bug,NA,snapshot_on_failure,TODO,NA,NA,NA,TODO,NA,requires simulator/RTL artifact not yet generated
stack_corruption_bug,failing,property_aware_replaycapsule_rv,MEASURED,3,63,1000.000,True,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
uart_command_bug,NA,full_instruction_trace,TODO,NA,NA,NA,TODO,NA,requires simulator/RTL artifact not yet generated
uart_command_bug,failing,full_commit_trace,MEASURED,4,64,1000.000,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
uart_command_bug,failing,branch_only_trace,MEASURED,1,16,250.000,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
uart_command_bug,failing,store_only_trace,MEASURED,1,16,250.000,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
uart_command_bug,failing,mmio_only_trace,MEASURED,2,32,500.000,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
uart_command_bug,failing,interrupt_mmio_trace,MEASURED,2,32,500.000,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
uart_command_bug,NA,snapshot_on_failure,TODO,NA,NA,NA,TODO,NA,requires simulator/RTL artifact not yet generated
uart_command_bug,failing,property_aware_replaycapsule_rv,MEASURED,5,105,1250.000,True,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
watchdog_timeout_bug,NA,full_instruction_trace,TODO,NA,NA,NA,TODO,NA,requires simulator/RTL artifact not yet generated
watchdog_timeout_bug,failing,full_commit_trace,MEASURED,22,352,1000.000,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
watchdog_timeout_bug,failing,branch_only_trace,MEASURED,0,0,0.000,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
watchdog_timeout_bug,failing,store_only_trace,MEASURED,0,0,0.000,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
watchdog_timeout_bug,failing,mmio_only_trace,MEASURED,1,16,45.455,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
watchdog_timeout_bug,failing,interrupt_mmio_trace,MEASURED,3,48,136.364,False,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
watchdog_timeout_bug,NA,snapshot_on_failure,TODO,NA,NA,NA,TODO,NA,requires simulator/RTL artifact not yet generated
watchdog_timeout_bug,failing,property_aware_replaycapsule_rv,MEASURED,4,84,181.818,True,model,size and replay success measured from model evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
sensor_threshold_bug,failing,full_instruction_trace,MEASURED,18,144,1000.000,False,firmware-sim,PC+instruction bytes measured from firmware-sim commits; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
sensor_threshold_bug,failing,full_commit_trace,MEASURED,18,288,1000.000,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
sensor_threshold_bug,failing,branch_only_trace,MEASURED,7,112,388.889,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
sensor_threshold_bug,failing,store_only_trace,MEASURED,0,0,0.000,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
sensor_threshold_bug,failing,mmio_only_trace,MEASURED,1,16,55.556,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
sensor_threshold_bug,failing,interrupt_mmio_trace,MEASURED,1,16,55.556,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
sensor_threshold_bug,failing,snapshot_on_failure,MEASURED,1,132,55.556,False,firmware-sim,architectural snapshot bytes measured from firmware-sim final state; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
sensor_threshold_bug,failing,property_aware_replaycapsule_rv,MEASURED,9,189,500.000,True,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
interrupt_race_bug,failing,full_instruction_trace,MEASURED,5,40,1000.000,False,firmware-sim,PC+instruction bytes measured from firmware-sim commits; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
interrupt_race_bug,failing,full_commit_trace,MEASURED,5,80,1000.000,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
interrupt_race_bug,failing,branch_only_trace,MEASURED,0,0,0.000,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
interrupt_race_bug,failing,store_only_trace,MEASURED,1,16,200.000,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
interrupt_race_bug,failing,mmio_only_trace,MEASURED,1,16,200.000,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
interrupt_race_bug,failing,interrupt_mmio_trace,MEASURED,3,48,600.000,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
interrupt_race_bug,failing,snapshot_on_failure,MEASURED,1,132,200.000,False,firmware-sim,architectural snapshot bytes measured from firmware-sim final state; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
interrupt_race_bug,failing,property_aware_replaycapsule_rv,MEASURED,4,84,800.000,True,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
mmio_ordering_bug,failing,full_instruction_trace,MEASURED,3,24,1000.000,False,firmware-sim,PC+instruction bytes measured from firmware-sim commits; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
mmio_ordering_bug,failing,full_commit_trace,MEASURED,3,48,1000.000,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
mmio_ordering_bug,failing,branch_only_trace,MEASURED,0,0,0.000,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
mmio_ordering_bug,failing,store_only_trace,MEASURED,1,16,333.333,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
mmio_ordering_bug,failing,mmio_only_trace,MEASURED,1,16,333.333,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
mmio_ordering_bug,failing,interrupt_mmio_trace,MEASURED,1,16,333.333,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
mmio_ordering_bug,failing,snapshot_on_failure,MEASURED,1,132,333.333,False,firmware-sim,architectural snapshot bytes measured from firmware-sim final state; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
mmio_ordering_bug,failing,property_aware_replaycapsule_rv,MEASURED,2,42,666.667,True,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
stack_corruption_bug,failing,full_instruction_trace,MEASURED,6,48,1000.000,False,firmware-sim,PC+instruction bytes measured from firmware-sim commits; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
stack_corruption_bug,failing,full_commit_trace,MEASURED,6,96,1000.000,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
stack_corruption_bug,failing,branch_only_trace,MEASURED,0,0,0.000,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
stack_corruption_bug,failing,store_only_trace,MEASURED,1,16,166.667,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
stack_corruption_bug,failing,mmio_only_trace,MEASURED,0,0,0.000,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
stack_corruption_bug,failing,interrupt_mmio_trace,MEASURED,0,0,0.000,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
stack_corruption_bug,failing,snapshot_on_failure,MEASURED,1,140,166.667,False,firmware-sim,architectural snapshot bytes measured from firmware-sim final state; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
stack_corruption_bug,failing,property_aware_replaycapsule_rv,MEASURED,2,42,333.333,True,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
uart_command_bug,failing,full_instruction_trace,MEASURED,6,48,1000.000,False,firmware-sim,PC+instruction bytes measured from firmware-sim commits; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
uart_command_bug,failing,full_commit_trace,MEASURED,6,96,1000.000,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
uart_command_bug,failing,branch_only_trace,MEASURED,1,16,166.667,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
uart_command_bug,failing,store_only_trace,MEASURED,1,16,166.667,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
uart_command_bug,failing,mmio_only_trace,MEASURED,2,32,333.333,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
uart_command_bug,failing,interrupt_mmio_trace,MEASURED,2,32,333.333,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
uart_command_bug,failing,snapshot_on_failure,MEASURED,1,132,166.667,False,firmware-sim,architectural snapshot bytes measured from firmware-sim final state; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
uart_command_bug,failing,property_aware_replaycapsule_rv,MEASURED,5,105,833.333,True,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
watchdog_timeout_bug,failing,full_instruction_trace,MEASURED,14,112,1000.000,False,firmware-sim,PC+instruction bytes measured from firmware-sim commits; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
watchdog_timeout_bug,failing,full_commit_trace,MEASURED,14,224,1000.000,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
watchdog_timeout_bug,failing,branch_only_trace,MEASURED,5,80,357.143,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
watchdog_timeout_bug,failing,store_only_trace,MEASURED,0,0,0.000,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
watchdog_timeout_bug,failing,mmio_only_trace,MEASURED,1,16,71.429,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
watchdog_timeout_bug,failing,interrupt_mmio_trace,MEASURED,1,16,71.429,False,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
watchdog_timeout_bug,failing,snapshot_on_failure,MEASURED,1,132,71.429,False,firmware-sim,architectural snapshot bytes measured from firmware-sim final state; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
watchdog_timeout_bug,failing,property_aware_replaycapsule_rv,MEASURED,7,147,500.000,True,firmware-sim,size and replay success measured from firmware-sim evidence; full benchmark-wide RTL trace sizes pending; RTL-smoke capsule bytes are reported separately when available
sensor_threshold_bug,failing,rtl_smoke_replaycapsule_rv,MEASURED,16,336,NA,NA,rtl-smoke,RTL-smoke capsule bytes measured from exported 168-bit packets; not benchmark-wide firmware-running replay
interrupt_race_bug,failing,rtl_smoke_replaycapsule_rv,MEASURED,3,63,NA,NA,rtl-smoke,RTL-smoke capsule bytes measured from exported 168-bit packets; not benchmark-wide firmware-running replay
mmio_ordering_bug,failing,rtl_smoke_replaycapsule_rv,MEASURED,2,42,NA,NA,rtl-smoke,RTL-smoke capsule bytes measured from exported 168-bit packets; not benchmark-wide firmware-running replay
stack_corruption_bug,failing,rtl_smoke_replaycapsule_rv,MEASURED,2,42,NA,NA,rtl-smoke,RTL-smoke capsule bytes measured from exported 168-bit packets; not benchmark-wide firmware-running replay
uart_command_bug,failing,rtl_smoke_replaycapsule_rv,MEASURED,4,84,NA,NA,rtl-smoke,RTL-smoke capsule bytes measured from exported 168-bit packets; not benchmark-wide firmware-running replay
watchdog_timeout_bug,failing,rtl_smoke_replaycapsule_rv,MEASURED,12,252,NA,NA,rtl-smoke,RTL-smoke capsule bytes measured from exported 168-bit packets; not benchmark-wide firmware-running replay
sensor_threshold_bug,fixed,rtl_smoke_replaycapsule_rv,MEASURED,4,84,NA,NA,rtl-smoke,RTL-smoke capsule bytes measured from exported 168-bit packets; not benchmark-wide firmware-running replay
interrupt_race_bug,fixed,rtl_smoke_replaycapsule_rv,MEASURED,58,1218,NA,NA,rtl-smoke,RTL-smoke capsule bytes measured from exported 168-bit packets; not benchmark-wide firmware-running replay
mmio_ordering_bug,fixed,rtl_smoke_replaycapsule_rv,MEASURED,2,42,NA,NA,rtl-smoke,RTL-smoke capsule bytes measured from exported 168-bit packets; not benchmark-wide firmware-running replay
stack_corruption_bug,fixed,rtl_smoke_replaycapsule_rv,MEASURED,1,21,NA,NA,rtl-smoke,RTL-smoke capsule bytes measured from exported 168-bit packets; not benchmark-wide firmware-running replay
uart_command_bug,fixed,rtl_smoke_replaycapsule_rv,MEASURED,3,63,NA,NA,rtl-smoke,RTL-smoke capsule bytes measured from exported 168-bit packets; not benchmark-wide firmware-running replay
watchdog_timeout_bug,fixed,rtl_smoke_replaycapsule_rv,MEASURED,8,168,NA,NA,rtl-smoke,RTL-smoke capsule bytes measured from exported 168-bit packets; not benchmark-wide firmware-running replay
